Date,Buy & hold SPY,Target 12% via Trailing 22d,Target 12% via HAR,"Target 12% via GARCH(1,1)",Target 12% via XGBoost,Target 12% via Combo
2004-10-25,1.0332236,1.0353939940855346,1.0336574390613773,1.0301853971849533,1.029315,1.030997190025893
2004-11-01,1.0659932,1.0667865969213401,1.0662040008873055,1.0587750925676327,1.0581425,1.0609302842326336
2004-11-08,1.0839415,1.0843895250360887,1.0822841044982712,1.0737919991880809,1.0722616,1.07597964549613
2004-11-15,1.0770942,1.0773478614136986,1.0748428652625166,1.0676441314140666,1.0663986,1.0695310579731303
2004-11-22,1.076273,1.0765228783868064,1.0739916225469535,1.0669050160443434,1.0656972,1.0687702442045188
2004-11-30,1.07819,1.078891414406216,1.0760902811135566,1.0687961789856577,1.0673755,1.0706515677914725
2004-12-07,1.1027477,1.112953036597409,1.103176141602459,1.0927269468373655,1.0875926,1.0942256933133565
2004-12-14,1.1042879,1.1150513459522151,1.1049214999030634,1.094259533837902,1.0889012,1.0957436693621896
2004-12-21,1.1131859,1.127696902189661,1.11453725876895,1.1033967822066977,1.0966969,1.1045638853107036
2004-12-29,1.0824581,1.0809838475266664,1.074704090304804,1.069731715771102,1.0705433,1.0718433308898125
2005-01-05,1.0875943,1.0884010341229295,1.0797811886014974,1.0748709380127177,1.0744765,1.0765266679565622
2005-01-12,1.0777793,1.0738451844561006,1.069941326211323,1.0647181986030536,1.0663052,1.0671793340059397
2005-01-20,1.0771375,1.0729903800963645,1.0692287486909628,1.0641002314231371,1.0657637,1.0665711665916524
2005-01-27,1.0911716,1.0907457085709182,1.084769302853319,1.0782095497957835,1.0773011,1.080202568246218
2005-02-03,1.0983258,1.0996440057570556,1.0931477218474042,1.0856859218316597,1.0833304,1.0874316858060027
2005-02-10,1.1028209,1.1054699525965923,1.0985593815858543,1.0902816257053658,1.0870514,1.0919589808267494
2005-02-17,1.113828,1.1208726001099545,1.1125429129134652,1.1015168924378085,1.0962763,1.1032760962777328
2005-02-25,1.1257521,1.1353106494287204,1.1257215078500695,1.1121472986891894,1.10591,1.1143259500074496
2005-03-04,1.1042879,1.1109594311168225,1.1041767363092287,1.0929320242724772,1.0888526,1.0951453659607606
2005-03-11,1.0915902,1.0970198043112094,1.0913723847847283,1.0813171678680369,1.0784602,1.0835851123151676
2005-03-18,1.0802634,1.0848054504682425,1.080145142409254,1.0707140583240604,1.0693783,1.0733256827944655
2005-03-28,1.0832105,1.08833208036606,1.08315951359871,1.0736060991989376,1.0716914,1.0760501211528548
2005-04-04,1.0874465,1.0932683197348738,1.0870460112726041,1.077624957258833,1.0749621,1.0797605268029564
2005-04-11,1.0543875,1.0518945757890288,1.0490614537147558,1.0458418089951393,1.0481184,1.047880575431527
2005-04-18,1.0712389,1.0696254860635606,1.064562007404632,1.0597298091138518,1.060429,1.0617220209885163
2005-04-25,1.0718837,1.0701411497503992,1.0650988809394175,1.0601846261279888,1.060919,1.0622222574104605
2005-05-02,1.0849597,1.080708571035889,1.0756555914144932,1.0696744390125248,1.0702091,1.071987215969123
2005-05-09,1.0755672,1.0731732701057264,1.0673719048325492,1.0620615026759588,1.0632601,1.0643904531742596
2005-05-16,1.1030086,1.0958015584464065,1.0909995478663395,1.0841984285320645,1.0844971,1.0867092149740396
2005-05-23,1.1002458,1.092950628681857,1.0882978261534382,1.0818396201035532,1.0823017,1.0842991316673665
2005-05-31,1.1062313,1.099752833148436,1.0949040005039663,1.0873734637665033,1.087246,1.0899538483078588
2005-06-07,1.1129543,1.1082035479067964,1.1016871044731715,1.0939890170231539,1.0928195,1.0962641324721973
2005-06-14,1.1230857,1.1232844677953913,1.1129328811792494,1.1047014936995603,1.1011719,1.1062862884550986
2005-06-21,1.1108818,1.1049753742525612,1.0981864073671235,1.0908462612871022,1.0915662,1.0937726399235226
2005-06-28,1.1046866,1.0957319530630831,1.0908439150085887,1.0847353777763542,1.0864339,1.0876494304875546
2005-07-06,1.1319616,1.1355578275130842,1.1216772848395138,1.1111711525747152,1.1084663,1.1138443892995227
2005-07-13,1.1412998,1.147845689863647,1.1323462736570142,1.1202888378886238,1.1160537,1.1228823324360173
2005-07-20,1.1445361,1.152024132322394,1.1357665459053619,1.1236180850795523,1.1187125,1.1260093666048883
2005-07-27,1.1531351,1.164458606895941,1.1458505052072108,1.1327395982050963,1.1258165,1.1346867641586995
2005-08-03,1.1402826,1.1459108216875706,1.1294838492358656,1.119069952013871,1.1152923,1.121385335331168
2005-08-10,1.1298349,1.1301456415492024,1.1187963109625267,1.108081519676636,1.1071566,1.1115360014327755
2005-08-17,1.1201271,1.1169496087016217,1.1076348885031828,1.098653380768823,1.0990813,1.1020739767132453
2005-08-24,1.1333485,1.1353456746886006,1.1205779359522474,1.1120000481831325,1.1090072,1.1140524371965344
2005-08-31,1.141854,1.145666272661382,1.1291627149503294,1.1198236969194288,1.1156368,1.1216994647523957
2005-09-08,1.1386185,1.1417071405198385,1.1258207139965144,1.116743439222283,1.1130081,1.1186967938490027
2005-09-15,1.126659,1.1270781892036088,1.112003906304174,1.1048925723698122,1.1030511,1.10692506669591
2005-09-22,1.1389158,1.1415432360557902,1.1242324189967285,1.116589759397956,1.112722,1.1180704808897866
2005-09-29,1.1067892,1.1003281262468803,1.0935594845069645,1.0840544788268616,1.0865386,1.088396660416916
2005-10-06,1.0903543,1.0796029303972512,1.0788283377042147,1.0690387013538771,1.0751934,1.0748030920114018
2005-10-13,1.0925825,1.0823609969859471,1.0808710897066123,1.071143438881979,1.076835,1.07672209217143
2005-10-20,1.096576,1.085927637651049,1.0840700752001349,1.074001290688465,1.0796653,1.0796819230385242
2005-10-27,1.1352947,1.1182985064752327,1.11794429690334,1.10446008172089,1.1091613,1.1109158573533617
2005-11-03,1.1452292,1.1262688503696427,1.126860154965037,1.1124232655921045,1.1180729,1.1195034933708945
2005-11-10,1.1573002,1.136517494735431,1.1378388410100289,1.123278502473431,1.128977,1.1304196555683348
2005-11-17,1.18042,1.1573385762252648,1.159535765836525,1.1456273769907093,1.1507032,1.1523494466345883
2005-11-25,1.1778203,1.153932749159831,1.1563377144346907,1.1428959261791116,1.1485294,1.149699816442203
2005-12-02,1.1729921,1.146955581378002,1.1505958440647581,1.1378571414457501,1.1446068,1.1448563722572302
2005-12-09,1.1794899,1.1564781891069587,1.1576157267046168,1.1452309129874283,1.1502624,1.1515137754272213
2005-12-16,1.183224,1.1619700283849617,1.1619366492530887,1.1496715764077305,1.15297,1.1552658648666714
2005-12-23,1.182664,1.1611451559485535,1.1611943075563018,1.1489511878855105,1.1525613,1.1546643573474813
2006-01-03,1.2031995,1.1870931955892827,1.1802875304224327,1.1688379017941952,1.1683939,1.17286552408641
2006-01-10,1.1931186,1.1738301376491698,1.1686555627709576,1.1582891463131517,1.1597575,1.1626667160227397
2006-01-18,1.1822908,1.15943049761368,1.1579715848547931,1.1459384631309575,1.1502725,1.151903877492284
2006-01-25,1.1984395,1.1770660889664515,1.1744126022930164,1.1621701655000511,1.1650257,1.1677138581472122
2006-02-01,1.1819177,1.1594594599653871,1.1555253379687875,1.1456424327204302,1.1495667,1.1508084268552716
2006-02-08,1.1966654,1.1758976741544114,1.1679625229838733,1.1595322325901725,1.1608173,1.1632953018028955
2006-02-15,1.2048795,1.1846296517936705,1.1756972151104024,1.167681455604973,1.1679162,1.1709473389886271
