Date,Buy & hold SPY,Target 12% via Trailing 22d,Target 12% via HAR,"Target 12% via GARCH(1,1)",Target 12% via XGBoost,Target 12% via XGBoost-QLIKE,Target 12% via XGBoost +BC,Target 12% via Combo,Target 12% via Stacked,Target 12% via Blend
2004-10-25,1.0332236,1.0353939940855346,1.0339552198367126,1.0301853971849533,1.039397,1.0392922,1.0393970442499774,1.034307496459298,1.034307496459298,1.034307496459298
2004-11-01,1.0659932,1.0667865969213401,1.0667819003831716,1.0587750925676327,1.0780163,1.0780005,1.078016364880752,1.0673950003904744,1.0673950003904744,1.0673950003904744
2004-11-08,1.0839415,1.0843895250360887,1.0829432590229056,1.0737919991880809,1.0951288,1.0958767,1.0951287822887739,1.0834630279773403,1.0834630279773403,1.0834630279773403
2004-11-15,1.0770942,1.0773478614136986,1.0754357644700967,1.0676441314140666,1.0876439,1.0880989,1.08764392780305,1.0764490162022122,1.0764490162022122,1.0764490162022122
2004-11-22,1.076273,1.0765228783868064,1.0745759172539218,1.0669050160443434,1.0867221,1.0871812,1.086722259756872,1.075616712971818,1.075616712971818,1.075616712971818
2004-11-30,1.07819,1.078891414406216,1.0766954460590143,1.0687961789856577,1.0889738,1.0894614,1.088973862936954,1.0776978950914373,1.0776978950914373,1.0776978950914373
2004-12-07,1.1027477,1.112953036597409,1.104102525625483,1.0927269468373655,1.1156191,1.1142502,1.1156191768094619,1.1036384832651371,1.1036384832651371,1.1036384832651371
2004-12-14,1.1042879,1.1150513459522151,1.1058644336851133,1.094259533837902,1.1173732,1.1158894,1.117373294478616,1.1053171541106765,1.1053171541106765,1.1053171541106765
2004-12-21,1.1131859,1.127696902189661,1.1155728167997505,1.1033967822066977,1.1279383,1.1267837,1.1301445905297647,1.1151071911643102,1.1151071911643102,1.1151071911643102
2004-12-29,1.0824581,1.0809838475266664,1.075331237891416,1.069731715771102,1.0943694,1.0912246,1.0885244196950674,1.0794425513791899,1.0794425513791899,1.0794425513791899
2005-01-05,1.0875943,1.0884010341229295,1.0804588004319302,1.0748709380127177,1.0998907,1.0964324,1.0954786852882243,1.084701893363604,1.084701893363604,1.084701893363604
2005-01-12,1.0777793,1.0738451844561006,1.0705010878038699,1.0647181986030536,1.0891073,1.0857375,1.0817544279921223,1.0744128806488011,1.0744128806488011,1.0744128806488011
2005-01-20,1.0771375,1.0729903800963645,1.0697803766010379,1.0641002314231371,1.0884135,1.085031,1.0808831770410525,1.0737485993931881,1.0737485993931881,1.0737485993931881
2005-01-27,1.0911716,1.0907457085709182,1.0854821881785806,1.0782095497957835,1.1029729,1.0999898,1.0988218141150752,1.0885244602019588,1.0885244602019588,1.0885244602019588
2005-02-03,1.0983258,1.0996440057570556,1.093952464525027,1.0856859218316597,1.1109805,1.1084968,1.1086670812417825,1.09649654053749,1.09649654053749,1.09649654053749
2005-02-10,1.1028209,1.1054699525965923,1.0994347392412298,1.0902816257053658,1.1157204,1.1130216,1.114510921778312,1.1014241644378526,1.1014241644378526,1.1014241644378526
2005-02-17,1.113828,1.1208726001099545,1.1135830504134083,1.1015168924378085,1.127411,1.1242181,1.129065578444019,1.1137152402924253,1.1137152402924253,1.1137152402924253
2005-02-25,1.1257521,1.1353106494287204,1.1269127402483778,1.1121472986891894,1.1399709,1.1360277,1.1447521749244698,1.1258298842660326,1.1258298842660326,1.1258298842660326
2005-03-04,1.1042879,1.1109594311168225,1.105114602333051,1.0929320242724772,1.1181426,1.1150051,1.1178275447781063,1.1049285548887855,1.1049285548887855,1.1049285548887855
2005-03-11,1.0915902,1.0970198043112094,1.0921546856187536,1.0813171678680369,1.1051934,1.1016434,1.102125337243112,1.0924416348599348,1.0924416348599348,1.0924416348599348
2005-03-18,1.0802634,1.0848054504682425,1.0807932208473343,1.0707140583240604,1.0938845,1.0901272,1.0886460120104748,1.0813631696381079,1.0813631696381079,1.0813631696381079
2005-03-28,1.0832105,1.08833208036606,1.0838345017281092,1.0736060991989376,1.0968482,1.0931854,1.0921470102515893,1.084327153233031,1.084327153233031,1.084327153233031
2005-04-04,1.0874465,1.0932683197348738,1.0877559645526944,1.077624957258833,1.1009959,1.0973152,1.0970237973269474,1.0883541058476118,1.0883541058476118,1.0883541058476118
2005-04-11,1.0543875,1.0518945757890288,1.0493145787592133,1.0458418089951393,1.0673803,1.062773,1.0574718221682207,1.0538636747224683,1.0538636747224683,1.0538636747224683
2005-04-18,1.0712389,1.0696254860635606,1.064933521302872,1.0597298091138518,1.0830388,1.0779169,1.0757073936398565,1.0688919815622415,1.0688919815622415,1.0688919815622415
2005-04-25,1.0718837,1.0701411497503992,1.0654725791300172,1.0601846261279888,1.0836134,1.0785002,1.0763635167370311,1.0694122996557656,1.0694122996557656,1.0694122996557656
2005-05-02,1.0849597,1.080708571035889,1.0760936032517363,1.0696744390125248,1.0948129,1.0902214,1.0889806376611377,1.0798215990323998,1.0798215990323998,1.0798215990323998
2005-05-09,1.0755672,1.0731732701057264,1.067739172696959,1.0620615026759588,1.085911,1.0812497,1.0791413714186586,1.0715513081061618,1.0715513081061618,1.0715513081061618
2005-05-16,1.1030086,1.0958015584464065,1.0915021932596356,1.0841984285320645,1.1138046,1.1077188,1.1095350979348757,1.0960296281354243,1.0960296281354243,1.0960296281354243
2005-05-23,1.1002458,1.092950628681857,1.08877576780775,1.0818396201035532,1.1111082,1.1049639,1.1065897900297577,1.0934480463449348,1.0934480463449348,1.0934480463449348
2005-05-31,1.1062313,1.099752833148436,1.0954505750602763,1.0873734637665033,1.1173044,1.1113845,1.1134213734179428,1.0995626534550844,1.0995626534550844,1.0995626534550844
2005-06-07,1.1129543,1.1082035479067964,1.102315109556655,1.0939890170231539,1.1244903,1.1185167,1.1214374100567184,1.1064586079900458,1.1064586079900458,1.1064586079900458
2005-06-14,1.1230857,1.1232844677953913,1.113675739820337,1.1047014936995603,1.1343913,1.1284837,1.132664644183042,1.1171097533993593,1.1171097533993593,1.1171097533993593
2005-06-21,1.1108818,1.1049753742525612,1.0987766531635925,1.0908462612871022,1.1225502,1.1177593,1.118815781017935,1.1036454242861684,1.1036454242861684,1.1036454242861684
2005-06-28,1.1046866,1.0957319530630831,1.091357283603086,1.0847353777763542,1.1161773,1.1117219,1.1112511103362108,1.0970458182050598,1.0970458182050598,1.0970458182050598
2005-07-06,1.1319616,1.1355578275130842,1.1225569861021953,1.1111711525747152,1.1431153,1.1371634,1.1434933989517087,1.1251510104802098,1.1251510104802098,1.1251510104802098
2005-07-13,1.1412998,1.147845689863647,1.1333083978341016,1.1202888378886238,1.152822,1.1462051,1.1551913041039952,1.1349833517529044,1.1349833517529044,1.1349833517529044
2005-07-20,1.1445361,1.152024132322394,1.1367746571595652,1.1236180850795523,1.1563373,1.1493561,1.1594472130969344,1.1384292495634565,1.1384292495634565,1.1384292495634565
2005-07-27,1.1531351,1.164458606895941,1.1469821881913913,1.1327395982050963,1.1655008,1.1577777,1.1706224041627866,1.1479138395495156,1.1479138395495156,1.1479138395495156
2005-08-03,1.1402826,1.1459108216875706,1.130438843579663,1.119069952013871,1.1519208,1.1448944,1.153897017634635,1.1333852289125574,1.1333852289125574,1.1333852289125574
2005-08-10,1.1298349,1.1301456415492024,1.1196137588471993,1.108081519676636,1.1414602,1.1352186,1.1409210615456127,1.1226337243601205,1.1226337243601205,1.1226337243601205
2005-08-17,1.1201271,1.1169496087016217,1.1083250461322305,1.098653380768823,1.1314089,1.1257569,1.1284196956865973,1.112421948484522,1.112421948484522,1.112421948484522
2005-08-24,1.1333485,1.1353456746886006,1.1214198771827963,1.1120000481831325,1.1441289,1.1383281,1.144256299786485,1.1254765460526428,1.1254765460526428,1.1254765460526428
2005-08-31,1.141854,1.145666272661382,1.1301176642026314,1.1198236969194288,1.1529619,1.1474156,1.155279899650005,1.1339274955497525,1.1339274955497525,1.1339274955497525
2005-09-08,1.1386185,1.1417071405198385,1.1267465382134902,1.116743439222283,1.149571,1.1439601,1.151045487913542,1.130650708455733,1.130650708455733,1.130650708455733
2005-09-15,1.126659,1.1270781892036088,1.1127518861598693,1.1048925723698122,1.1366054,1.1306609,1.1348716109476165,1.1177465558683506,1.1177465558683506,1.1177465558683506
2005-09-22,1.1389158,1.1415432360557902,1.12511462652827,1.116589759397956,1.1496904,1.1438911,1.1511429438293435,1.1301128020738112,1.1301128020738112,1.1301128020738112
2005-09-29,1.1067892,1.1003281262468803,1.0940821224070445,1.0840544788268616,1.1151402,1.1089741,1.1079652753827736,1.0974532486639987,1.0974532486639987,1.0974532486639987
2005-10-06,1.0903543,1.0796029303972512,1.079175720699957,1.0690387013538771,1.0995426,1.0948195,1.0885680124028145,1.0822862536827282,1.0822862536827282,1.0822862536827282
2005-10-13,1.0925825,1.0823609969859471,1.081238743837535,1.071143438881979,1.1017737,1.0970058,1.0913264841274342,1.0844175728993477,1.0844175728993477,1.0844175728993477
2005-10-20,1.096576,1.085927637651049,1.084470850803391,1.074001290688465,1.1054126,1.1004192,1.095785524506168,1.087644714931805,1.087644714931805,1.087644714931805
2005-10-27,1.1352947,1.1182985064752327,1.1186827505377417,1.10446008172089,1.1431892,1.1397398,1.1414210165213208,1.121654872304385,1.121654872304385,1.121654872304385
2005-11-03,1.1452292,1.1262688503696427,1.1276950336644782,1.1124232655921045,1.1566068,1.1526922,1.1563302313202664,1.131524793728236,1.131524793728236,1.131524793728236
2005-11-10,1.1573002,1.136517494735431,1.1388250296240245,1.123278502473431,1.1730036,1.1681947,1.174612240634483,1.1440779882326875,1.1440779882326875,1.1440779882326875
2005-11-17,1.18042,1.1573385762252648,1.1608077858036643,1.1456273769907093,1.2061304,1.1985762,1.2098106672107412,1.169402796222494,1.169402796222494,1.169402796222494
2005-11-25,1.1778203,1.153932749159831,1.1575774625755346,1.1428959261791116,1.2029421,1.1954958,1.2060730333721466,1.166396554575407,1.166396554575407,1.166396554575407
2005-12-02,1.1729921,1.146955581378002,1.1517667749565805,1.1378571414457501,1.1971716,1.1898289,1.1992001164246815,1.1608736358245975,1.1608736358245975,1.1608736358245975
2005-12-09,1.1794899,1.1564781891069587,1.1588812872818621,1.1452309129874283,1.2052548,1.1978686,1.2088280461934071,1.1683955108475852,1.1683955108475852,1.1683955108475852
2005-12-16,1.183224,1.1619700283849617,1.1632652387931268,1.1496715764077305,1.2094784,1.2019843,1.2138715079499127,1.1727567616733017,1.1727567616733017,1.1727567616733017
2005-12-23,1.182664,1.1611451559485535,1.1625148620117083,1.1489511878855105,1.2088614,1.2013938,1.2131328662173715,1.1720745428759378,1.1720745428759378,1.1720745428759378
2006-01-03,1.2031995,1.1870931955892827,1.1819187956283106,1.1688379017941952,1.2320782,1.2254103,1.2410904257943427,1.1928358637834537,1.1928358637834537,1.1928358637834537
2006-01-10,1.1931186,1.1738301376491698,1.1701261769384166,1.1582891463131517,1.2193055,1.2123829,1.2256993553339954,1.1811776310386017,1.1811776310386017,1.1811776310386017
2006-01-18,1.1822908,1.15943049761368,1.159266760323858,1.1459384631309575,1.205342,1.1982747,1.2090084814843227,1.168883177733547,1.168883177733547,1.168883177733547
2006-01-25,1.1984395,1.1770660889664515,1.1759587786408758,1.1621701655000511,1.2264929,1.2197963,1.23377882010156,1.1867724021664563,1.1867724021664563,1.1867724021664563
2006-02-01,1.1819177,1.1594594599653871,1.1568244622568087,1.1456424327204302,1.2049557,1.1984056,1.2082652541465992,1.1678371423089287,1.1678371423089287,1.1678371423089287
2006-02-08,1.1966654,1.1758976741544114,1.169437260552302,1.1595322325901725,1.2195365,1.2141683,1.2254285820540283,1.1814964892644755,1.1814964892644755,1.1814964892644755
2006-02-15,1.2048795,1.1846296517936705,1.1772600651708858,1.167681455604973,1.2299473,1.2242734,1.2375932420127669,1.190210790395168,1.190210790395168,1.190210790395168
2006-02-23,1.2074933,1.187829804569428,1.1798761309921297,1.1704326313247935,1.2334911,1.2278551,1.2416093622746465,1.1931516254469656,1.1931516254469656,1.1931516254469656
2006-03-02,1.1890116,1.165683286318869,1.1608220545264842,1.1509002217323132,1.2073869,1.2020774,1.2131034825024745,1.1718341973730408,1.1718341973730408,1.1718341973730408
2006-03-09,1.2230815,1.2113104402087616,1.1944219350785723,1.1887356432850231,1.2511703,1.2443097,1.263872244440188,1.2099938640794325,1.2099938640794325,1.2099938640794325
2006-03-16,1.2193239,1.2064075715480993,1.1899886692476793,1.1846948990846924,1.2463589,1.2395834,1.258253769070981,1.2055895409652593,1.2055895409652593,1.2055895409652593
2006-03-23,1.2164185,1.2022864748519677,1.186489062113335,1.1813875029521552,1.2426239,1.2358232,1.2539059286818264,1.2020830548902095,1.2020830548902095,1.2020830548902095
2006-03-30,1.2264457,1.2170403662773952,1.197246121780317,1.1932251180208129,1.255006,1.2484504,1.268298080516741,1.213719804982278,1.213719804982278,1.213719804982278
2006-04-06,1.2062036,1.1869077717677938,1.1744826797613745,1.1678622063350068,1.2297367,1.2228247,1.2388233204179486,1.1893073111054109,1.1893073111054109,1.1893073111054109
2006-04-13,1.2290702,1.2206589702182846,1.199463025295081,1.1948848355337922,1.2567179,1.2489216,1.2703084192056162,1.215594299128031,1.215594299128031,1.215594299128031
2006-04-21,1.2320691,1.2248958469197349,1.2025116715426158,1.1981617532491016,1.2604749,1.2525667,1.2747085496452295,1.218950907245208,1.218950907245208,1.218950907245208
2006-04-28,1.2419094,1.23917968866257,1.2127472919412992,1.2097717051887642,1.2727189,1.2638111,1.2890613200534908,1.2302742932131625,1.2302742932131625,1.2302742932131625
2006-05-05,1.2111703,1.1989616110430144,1.1803104566202638,1.17580611599994,1.2326872,1.2239337,1.242139155084822,1.194986335913137,1.194986335913137,1.194986335913137
2006-05-12,1.1911153,1.1750191877657972,1.159104286834379,1.1561788105399091,1.2096329,1.2003633,1.2152550656448617,1.1737553586442047,1.1737553586442047,1.1737553586442047
2006-05-19,1.2031109,1.1878804480484964,1.1696707987611874,1.1666856777729742,1.2213522,1.2118871,1.2287973215097394,1.1846635119012807,1.1846635119012807,1.1846635119012807
2006-05-26,1.1913033,1.1767782682926973,1.159735178399911,1.1565702960309698,1.2111992,1.2020048,1.217171900283059,1.174604482808124,1.174604482808124,1.174604482808124
